dataset,protocol,source_group,source_checkpoint,method,runner_alias,config,seed,machine,bbox_ap50,miou,r1_bbox_ap50,r10_bbox_ap50,r1_miou,r10_miou,actual_evals,expected_evals,status
acdc-lt,Fog->Night->Rain->Snow x10,Mask R-CNN R50-FPN,mask_rcnn_R50_cityscapes/model_final.pth,CTCMT_Det [historical FT],ctcmt-det-ft,detectron2/configs/Cityscapes/ctcmt_det_mr_R_50_ACDC.yaml,0,gpu1,40.2647,,35.8296,41.3319,,,40,40,VALID
acdc-lt,Fog->Night->Rain->Snow x10,Mask R-CNN R50-FPN,mask_rcnn_R50_cityscapes/model_final.pth,CTCMT_Det [historical FT],ctcmt-det-ft,detectron2/configs/Cityscapes/ctcmt_det_mr_R_50_ACDC.yaml,42,Cronus,40.1605,,36.4093,41.7364,,,40,40,VALID
acdc-lt,Fog->Night->Rain->Snow x10,Mask R-CNN R50-FPN,mask_rcnn_R50_cityscapes/model_final.pth,CTCMT_Det [historical FT],ctcmt-det-ft,detectron2/configs/Cityscapes/ctcmt_det_mr_R_50_ACDC.yaml,123,Cronus,40.0093,,36.4836,40.6888,,,40,40,VALID
acdc-lt,Fog->Night->Rain->Snow x10,Semantic-FPN R50,semantic_R50_cityscapes/model_final.pth,CTCMT_Seg [historical FT],ctcmt-seg-ft,detectron2/configs/Cityscapes/ctcmt_seg_sf_small_aug_R_50_ACDC.yaml,0,gpu1,,35.5837,,,37.6748,30.6891,40,40,VALID
acdc-lt,Fog->Night->Rain->Snow x10,Semantic-FPN R50,semantic_R50_cityscapes/model_final.pth,CTCMT_Seg [historical FT],ctcmt-seg-ft,detectron2/configs/Cityscapes/ctcmt_seg_sf_small_aug_R_50_ACDC.yaml,42,Cronus,,35.5955,,,37.6778,30.7124,40,40,VALID
acdc-lt,Fog->Night->Rain->Snow x10,Semantic-FPN R50,semantic_R50_cityscapes/model_final.pth,CTCMT_Seg [historical FT],ctcmt-seg-ft,detectron2/configs/Cityscapes/ctcmt_seg_sf_small_aug_R_50_ACDC.yaml,123,Cronus,,35.5827,,,37.6748,30.6815,40,40,VALID
acdc-lt,Fog->Night->Rain->Snow x10,Panoptic-FPN R50,panoptic_fpn_R50_cityscapes/model_final.pth,CTCMT-MTL+V2 [historical FT],ctcmt-mtl-v2-ft,detectron2/configs/Cityscapes/ctcmt_v2_cross_fisher_pfn_R_50_ACDC.yaml,0,gpu1,40.4756,35.7789,37.1177,40.1624,34.1659,33.7068,40,40,VALID
acdc-lt,Fog->Night->Rain->Snow x10,Panoptic-FPN R50,panoptic_fpn_R50_cityscapes/model_final.pth,CTCMT-MTL+V2 [historical FT],ctcmt-mtl-v2-ft,detectron2/configs/Cityscapes/ctcmt_v2_cross_fisher_pfn_R_50_ACDC.yaml,42,Cronus,41.3852,38.4334,37.2377,42.3820,35.1202,37.7560,40,40,VALID
acdc-lt,Fog->Night->Rain->Snow x10,Panoptic-FPN R50,panoptic_fpn_R50_cityscapes/model_final.pth,CTCMT-MTL+V2 [historical FT],ctcmt-mtl-v2-ft,detectron2/configs/Cityscapes/ctcmt_v2_cross_fisher_pfn_R_50_ACDC.yaml,123,Cronus,42.0474,38.6725,37.3084,42.8830,35.1464,38.0948,40,40,VALID
cs-c,12 official corruptions once,Mask R-CNN R50-FPN,mask_rcnn_R50_cityscapes/model_final.pth,CTCMT_Det [historical FT],ctcmt-det-ft,detectron2/configs/Cityscapes/ctcmt_det_mr_R_50_ACDC.yaml,0,gpu1,16.5909,,,,,,12,12,VALID
cs-c,12 official corruptions once,Mask R-CNN R50-FPN,mask_rcnn_R50_cityscapes/model_final.pth,CTCMT_Det [historical FT],ctcmt-det-ft,detectron2/configs/Cityscapes/ctcmt_det_mr_R_50_ACDC.yaml,42,Cronus,17.5519,,,,,,12,12,VALID
cs-c,12 official corruptions once,Mask R-CNN R50-FPN,mask_rcnn_R50_cityscapes/model_final.pth,CTCMT_Det [historical FT],ctcmt-det-ft,detectron2/configs/Cityscapes/ctcmt_det_mr_R_50_ACDC.yaml,123,Cronus,17.1078,,,,,,12,12,VALID
cs-c,12 official corruptions once,Semantic-FPN R50,semantic_R50_cityscapes/model_final.pth,CTCMT_Seg [historical FT],ctcmt-seg-ft,detectron2/configs/Cityscapes/ctcmt_seg_sf_small_aug_R_50_ACDC.yaml,0,gpu1,,28.6763,,,,,12,12,VALID
cs-c,12 official corruptions once,Semantic-FPN R50,semantic_R50_cityscapes/model_final.pth,CTCMT_Seg [historical FT],ctcmt-seg-ft,detectron2/configs/Cityscapes/ctcmt_seg_sf_small_aug_R_50_ACDC.yaml,42,Cronus,,28.7584,,,,,12,12,VALID
cs-c,12 official corruptions once,Semantic-FPN R50,semantic_R50_cityscapes/model_final.pth,CTCMT_Seg [historical FT],ctcmt-seg-ft,detectron2/configs/Cityscapes/ctcmt_seg_sf_small_aug_R_50_ACDC.yaml,123,Cronus,,28.7703,,,,,12,12,VALID
cs-c,12 official corruptions once,Panoptic-FPN R50,panoptic_fpn_R50_cityscapes/model_final.pth,CTCMT-MTL+V2 [historical FT],ctcmt-mtl-v2-ft,detectron2/configs/Cityscapes/ctcmt_v2_cross_fisher_pfn_R_50_ACDC.yaml,0,gpu1,15.2478,27.6891,,,,,12,12,VALID
cs-c,12 official corruptions once,Panoptic-FPN R50,panoptic_fpn_R50_cityscapes/model_final.pth,CTCMT-MTL+V2 [historical FT],ctcmt-mtl-v2-ft,detectron2/configs/Cityscapes/ctcmt_v2_cross_fisher_pfn_R_50_ACDC.yaml,42,Cronus,14.0000,27.4080,,,,,12,12,VALID
cs-c,12 official corruptions once,Panoptic-FPN R50,panoptic_fpn_R50_cityscapes/model_final.pth,CTCMT-MTL+V2 [historical FT],ctcmt-mtl-v2-ft,detectron2/configs/Cityscapes/ctcmt_v2_cross_fisher_pfn_R_50_ACDC.yaml,123,Cronus,14.7512,27.6232,,,,,12,12,VALID
